school.instructional_expenditure_per_fte,X2013.student.demographics.race_ethnicity.black,school.tuition_revenue_per_fte,id,X2013.student.share_firstgeneration,school.minority_serving.annh,X2013.cost.tuition.program_year,X2013.cost.attendance.program_year,X2013.aid.pell_grant_rate,school.minority_serving.historically_black,school.minority_serving.nant,X2013.student.demographics.race_ethnicity.two_or_more,X2013.student.demographics.race_ethnicity.white,X2013.student.size,X2013.student.demographics.race_ethnicity.hispanic,X2013.student.demographics.race_ethnicity.non_resident_alien,X2013.student.demographics.race_ethnicity.unknown,school.minority_serving.predominantly_black,school.under_investigation,school.minority_serving.hispanic,school.minority_serving.aanipi,X2013.student.demographics.race_ethnicity.aian,school.minority_serving.tribal,X2013.student.demographics.race_ethnicity.asian,school.name,X2013.student.demographics.race_ethnicity.nhpi,X2013.admissions.admission_rate.overall,X2013.admissions.sat_scores.average.overall,X2013.student.enrollment.all,X2013.student.demographics.race_ethnicity.white_non_hispanic,X2013.student.demographics.race_ethnicity.black_non_hispanic,X2013.student.demographics.race_ethnicity.asian_pacific_islander,X2013.cost.attendance.academic_year,X2013.cost.tuition.in_state,X2013.cost.tuition.out_of_state,year
NA,NA,NA,16947909,0.444694132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,Davenport University-Holland Location,NA,NA,NA,NA,NA,NA,NA,NA,13966,NA,2013
4161,0.3183,8551,444167,0.514855811,0,NA,NA,0.7082,0,0,0.0367,0.5629,3761,0.0675,0,0,0,0,0,0,0.0035,0,0.0088,Baker College of Allen Park,0.0024,NA,NA,NA,NA,NA,NA,17892,8100,8100,2013
3860,0.9251,9130,444237,0.560365456,0,18556,26461,0.7549,0,0,0.0263,0.0385,494,0.004,0,0.002,0,0,0,0,0,0,0.004,Everest Institute-Detroit,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013
3309,0.0893,19091,445124,0.447183099,0,NA,NA,0.7275,0,0,0.0202,0.1153,347,0.0115,0,0.7522,0,0,0,0,0.0029,0,0.0058,International Academy of Design and Technology-Troy,0.0029,NA,NA,NA,NA,NA,NA,20796,15247,15247,2013
1841,0.3896,7578,444653,0.777777778,0,7200,5150,0.7368,0,0,0,0.4805,77,0.0519,0,0.013,0,0,0,0,0.026,0,0.039,In Session Arts of Cosmetology Beauty School,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013
9527,0.3509,19864,442958,0.553571429,0,15950,21448,0.2203,0,0,0,0.5965,57,0.0351,0,0,0,0,0,0,0,0,0,Blue Water College of Cosmetology Inc,0.0175,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013
2794,0.2068,6887,443137,0.444794953,0,10690,27125,0.574,0,0,0,0.6799,353,0.0255,0,0.0567,0,0,0,0,0,0,0.0028,Irene's Myomassology Institute,0.0283,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013
7342,0.0286,681,441070,0,0,NA,NA,0.3937,0,0,0,0.1238,105,0.0286,0,0,0,0,0,0,0.8095,1,0.0095,Saginaw Chippewa Tribal College,0,NA,NA,NA,NA,NA,NA,11862,2040,2040,2013
4190,0,7630,171465,0.43030303,0,12000,19504,0.6667,0,0,0,0.9756,41,0,0,0,0,0,0,0,0.0244,0,0,Paul Mitchell the School-Escanaba,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013
5163,0.3552,22517,442338,0.506675155,0,NA,NA,0.7245,0,0,0.0181,0.5543,442,0.0226,0,0.0339,0,0,0,0,0.0023,0,0.0136,ITT Technical Institute-Canton,0,0.6701,NA,NA,NA,NA,NA,27412,18048,18048,2013
